month,month_no,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2013-06,06,2,5,251,250,466,83001
2013-07,07,1,1,338,328,716,73100
2013-07,07,1,2,331,325,652,77110
2013-07,07,1,3,226,226,301,61011
2013-07,07,1,4,538,536,679,1610
2013-07,07,1,5,288,284,485,77000
2013-07,07,2,1,334,332,621,73989
2013-07,07,2,2,303,301,574,76389
2013-07,07,2,3,232,226,335,65036
2013-07,07,2,4,526,516,652,1712
2013-07,07,2,5,240,237,425,76802
2013-08,08,1,1,373,371,754,75556
2013-08,08,1,2,380,373,682,77600
2013-08,08,1,3,258,257,364,68251
2013-08,08,1,4,482,481,568,1792
2013-08,08,1,5,264,261,407,77989
2013-08,08,2,1,366,360,596,76223
2013-08,08,2,2,375,371,627,76607
2013-08,08,2,3,263,257,385,71001
2013-08,08,2,4,491,449,615,1722
2013-08,08,2,5,264,264,385,79223
2013-09,09,1,1,366,365,609,77304
2013-09,09,1,2,381,378,623,77100
2013-09,09,1,3,258,254,340,73999
2013-09,09,1,4,481,481,569,1660
2013-09,09,1,5,263,181,431,80000
2013-09,09,2,1,370,361,654,83751
2013-09,09,2,2,377,368,703,86239
2013-09,09,2,3,263,257,321,76001
2013-09,09,2,4,523,521,579,1703
2013-09,09,2,5,261,253,459,87001
2013-10,10,1,1,365,361,615,85000
2013-10,10,1,2,376,373,649,93500
2013-10,10,1,3,261,261,315,76310
2013-10,10,1,4,481,475,567,1961
2013-10,10,1,5,342,330,483,93889
2013-10,10,2,1,373,373,596,76889
2013-10,10,2,2,382,376,515,87910
2013-10,10,2,3,263,262,358,68002
2013-10,10,2,4,482,481,586,1804
2013-10,10,2,5,269,264,337,92289
2013-11,11,1,1,368,368,590,72609
2013-11,11,1,2,376,376,482,84578
2013-11,11,1,3,257,256,427,55503
2013-11,11,1,4,487,487,569,1710
2013-11,11,1,5,273,270,379,89001
2013-11,11,2,1,364,361,650,74991
2013-11,11,2,2,379,375,536,79300
2013-11,11,2,3,258,252,397,55002
2013-11,11,2,4,481,437,543,1712
2013-11,11,2,5,266,259,410,83000
2013-12,12,1,1,364,364,591,73160
2013-12,12,1,2,373,360,549,73010
2013-12,12,1,3,258,257,359,51112
2013-12,12,1,4,481,473,647,1782
2013-12,12,1,5,264,264,365,76901
2013-12,12,2,1,367,363,574,74002
2013-12,12,2,2,377,357,500,75700
2013-12,12,2,3,263,256,338,48001
2013-12,12,2,4,524,501,680,1812
2013-12,12,2,5,268,268,375,77501
2014-01,01,1,1,364,361,623,72369
2014-01,01,1,2,386,377,581,78700
2014-01,01,1,3,258,252,337,48889
2014-01,01,1,4,489,487,542,1989
2014-01,01,1,5,261,244,392,79000
2014-01,01,2,1,368,364,724,72290
2014-01,01,2,2,393,388,512,79000
2014-01,01,2,3,264,249,356,50001
2014-01,01,2,4,503,503,796,2704
2014-01,01,2,5,261,259,373,78810
2014-02,02,1,1,362,356,719,71564
2014-02,02,1,2,360,360,523,75300
2014-02,02,1,3,267,264,364,51002
2014-02,02,1,4,361,353,550,3051
2014-02,02,1,5,208,205,351,77003
2014-02,02,2,1,362,358,700,77201
2014-02,02,2,2,355,353,519,78604
2014-02,02,2,3,277,273,392,52890
2014-02,02,2,4,360,359,478,3501
2014-02,02,2,5,193,191,321,79000
2014-03,03,1,1,365,356,615,76999
2014-03,03,1,2,350,337,499,80710
2014-03,03,1,3,265,262,439,56302
2014-03,03,1,4,368,340,483,4001
2014-03,03,1,5,193,185,292,82000
2014-03,03,2,1,362,360,577,78602
2014-03,03,2,2,353,352,524,82900
2014-03,03,2,3,266,256,356,53891
2014-03,03,2,4,360,355,449,4289
2014-03,03,2,5,193,192,293,84001
2014-04,04,1,1,367,360,537,77400
2014-04,04,1,2,363,363,523,84504
2014-04,04,1,3,265,261,303,49503
2014-04,04,1,4,388,388,520,4489
2014-04,04,1,5,199,197,283,84100
2014-04,04,2,1,361,357,513,71335
2014-04,04,2,2,351,349,486,75010
2014-04,04,2,3,272,266,392,32890
2014-04,04,2,4,365,350,492,4502
2014-04,04,2,5,192,192,310,73810
2014-05,05,1,1,513,512,676,60002
2014-05,05,1,2,483,472,778,70002
2014-05,05,1,3,389,389,715,36301
2014-05,05,1,4,343,340,445,4001
2014-05,05,1,5,295,295,525,65501
2014-05,05,2,1,509,506,997,65689
2014-05,05,2,2,484,477,716,68103
2014-05,05,2,3,392,386,709,40889
2014-05,05,2,4,358,316,492,4003
2014-05,05,2,5,294,285,497,67290
2014-06,06,1,1,507,499,1040,63190
2014-06,06,1,2,494,484,807,67304
2014-06,06,1,3,385,378,617,43001
2014-06,06,1,4,346,346,449,4089
2014-06,06,1,5,293,292,465,67334
2014-06,06,2,1,509,506,1040,61899
2014-06,06,2,2,490,475,716,65700
2014-06,06,2,3,391,385,597,42001
2014-06,06,2,4,385,381,503,3890
2014-06,06,2,5,302,276,434,65301
2014-07,07,1,1,513,511,1075,61990
2014-07,07,1,2,493,491,812,64889
2014-07,07,1,3,392,383,653,43390
2014-07,07,1,4,344,343,415,4001
2014-07,07,1,5,294,288,441,63001
2014-07,07,2,1,509,505,1190,62890
2014-07,07,2,2,498,497,850,65001
2014-07,07,2,3,391,391,779,52010
2014-07,07,2,4,347,341,410,4252
2014-07,07,2,5,319,317,483,65002
2014-08,08,1,1,574,574,1086,64600
2014-08,08,1,2,507,501,1090,68689
2014-08,08,1,3,267,267,519,54009
2014-08,08,1,4,316,315,360,4353
2014-08,08,1,5,245,243,429,69001
2014-08,08,2,1,575,574,994,65710
2014-08,08,2,2,506,502,1137,72990
2014-08,08,2,3,257,254,427,52390
2014-08,08,2,4,322,317,361,4354
2014-08,08,2,5,241,224,358,72810
2014-09,09,1,1,572,568,813,64841
2014-09,09,1,2,511,511,909,73010
2014-09,09,1,3,258,256,429,49901
2014-09,09,1,4,316,316,382,4453
2014-09,09,1,5,241,235,385,74403
2014-09,09,2,1,573,573,792,62000
2014-09,09,2,2,509,507,785,71990
2014-09,09,2,3,261,252,437,49889
2014-09,09,2,4,320,318,394,4504
2014-09,09,2,5,256,252,395,74801
2014-10,10,1,1,575,570,1097,63880
2014-10,10,1,2,505,501,852,72180
2014-10,10,1,3,259,257,516,57389
2014-10,10,1,4,316,316,502,4800
2014-10,10,1,5,245,236,390,72003
2014-10,10,2,1,572,569,1092,63990
2014-10,10,2,2,507,506,822,72002
2014-10,10,2,3,267,266,416,61000
2014-10,10,2,4,317,310,431,4412
2014-10,10,2,5,242,242,335,72201
2014-11,11,1,1,703,692,1196,64900
2014-11,11,1,2,574,559,832,70890
2014-11,11,1,3,143,143,257,63701
2014-11,11,1,4,316,315,380,4290
2014-11,11,1,5,272,271,403,71300
2014-11,11,2,1,701,694,1144,67889
2014-11,11,2,2,570,560,900,72890
2014-11,11,2,3,142,134,260,65001
2014-11,11,2,4,324,322,389,4189
2014-11,11,2,5,263,263,382,73900
2014-12,12,1,1,709,703,996,67089
2014-12,12,1,2,584,582,873,74389
2014-12,12,1,3,141,126,196,60001
2014-12,12,1,4,318,314,392,4210
2014-12,12,1,5,265,257,370,76904
2014-12,12,2,1,705,699,868,65889
2014-12,12,2,2,579,572,755,74000
2014-12,12,2,3,149,149,268,52100
2014-12,12,2,4,319,270,367,4312
2014-12,12,2,5,264,264,446,73990
2015-01,01,1,1,704,698,940,66010
2015-01,01,1,2,571,570,833,75289
2015-01,01,1,3,156,155,296,55011
2015-01,01,1,4,321,319,374,4403
2015-01,01,1,5,272,265,386,75200
2015-01,01,2,1,705,703,1068,65001
2015-01,01,2,2,576,576,915,76889
2015-01,01,2,3,140,139,247,55012
2015-01,01,2,4,366,360,509,4889
2015-01,01,2,5,264,246,431,76790
2015-02,02,1,1,992,991,1295,62002
2015-02,02,1,2,724,723,959,70890
2015-02,02,1,3,185,183,311,52101
2015-02,02,1,4,287,283,384,5504
2015-02,02,1,5,181,181,288,71921
2015-02,02,2,1,988,988,1294,57199
2015-02,02,2,2,722,721,1037,66751
2015-02,02,2,3,185,185,333,53202
2015-02,02,2,4,291,290,396,5800
2015-02,02,2,5,193,193,373,67901
2015-03,03,1,1,987,986,2120,61410
2015-03,03,1,2,723,723,1239,68668
2015-03,03,1,3,186,183,315,56501
2015-03,03,1,4,289,288,343,5501
2015-03,03,1,5,175,162,322,70500
2015-03,03,2,1,987,987,2251,64700
2015-03,03,2,2,723,717,1354,71889
2015-03,03,2,3,184,175,345,59999
2015-03,03,2,4,286,286,385,5610
2015-03,03,2,5,174,172,290,72100
2015-04,04,1,1,988,970,2340,67749
2015-04,04,1,2,722,716,1661,76612
2015-04,04,1,3,188,183,290,64001
2015-04,04,1,4,286,278,442,6312
2015-04,04,1,5,187,165,311,78000
2015-04,04,2,1,987,979,2055,67601
2015-04,04,2,2,728,708,1525,78001
2015-04,04,2,3,194,192,284,53001
2015-04,04,2,4,285,277,376,6801
2015-04,04,2,5,176,163,331,79500
2015-05,05,1,1,1444,1438,2891,68589
2015-05,05,1,2,934,934,1631,77600
2015-05,05,1,3,373,370,545,50098
2015-05,05,1,4,334,321,462,6512
2015-05,05,1,5,292,290,445,78004
2015-05,05,2,1,1434,1431,2351,66590
2015-05,05,2,2,948,948,1401,75002
2015-05,05,2,3,370,365,546,52001
2015-05,05,2,4,334,298,433,6501
2015-05,05,2,5,283,281,364,78001
2015-06,06,1,1,1432,1393,1943,66000
2015-06,06,1,2,929,923,1384,75000
2015-06,06,1,3,371,369,508,50900
2015-06,06,1,4,339,336,430,6509
2015-06,06,1,5,272,267,392,75801
2015-06,06,2,1,1429,1421,1766,61000
2015-06,06,2,2,928,926,1144,71509
2015-06,06,2,3,373,370,481,50502
2015-06,06,2,4,363,359,448,6401
2015-06,06,2,5,272,269,373,74501
2015-07,07,1,1,1466,1464,1891,58700
2015-07,07,1,2,934,933,1225,65501
2015-07,07,1,3,370,370,476,50001
2015-07,07,1,4,330,328,425,6508
2015-07,07,1,5,274,272,411,69001
2015-07,07,2,1,1435,1365,1966,55889
2015-07,07,2,2,930,929,1218,58109
2015-07,07,2,3,371,371,455,50002
2015-07,07,2,4,331,320,486,6312
2015-07,07,2,5,272,270,441,60101
2015-08,08,1,1,1688,1687,2446,56209
2015-08,08,1,2,1057,1054,1634,60789
2015-08,08,1,3,183,183,263,49302
2015-08,08,1,4,356,356,418,6201
2015-08,08,1,5,363,361,607,57885
2015-08,08,2,1,1756,1756,2597,57498
2015-08,08,2,2,1058,1056,1551,62140
2015-08,08,2,3,182,182,282,46501
2015-08,08,2,4,366,319,527,6112
2015-08,08,2,5,363,356,609,61001
2015-09,09,1,1,1688,1688,2553,57089
2015-09,09,1,2,1059,1058,1628,62101
2015-09,09,1,3,182,182,371,46801
2015-09,09,1,4,355,310,473,6512
2015-09,09,1,5,363,358,580,61010
2015-09,09,2,1,1687,1684,2276,55399
2015-09,09,2,2,1058,1041,1371,60001
